"序列编号","病灶","影像工具","影像结果","自定义内容"
"1.2.840.113619.2.416.1205366986230223083640668411225109060781.2.840.113619.2.327.3.50990949.260.1540161545.999","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":99.41116751269033,""y"":218.96446700507613,""z"":57,""mind"":6.0761444060913705,""maxd"":6.9441650355330165,""direction"":""{\""x\"":10.395939086294447,\""y\"":9.096446700507613,\""z\"":0}""}{""x"":127.35025380710655,""y"":203.0456852791878,""z"":49,""mind"":5.939086294416251,""maxd"":8.223350253807112,""direction"":""{\""x\"":11.695431472081225,\""y\"":8.446700507614224,\""z\"":0}""}",""
"1.2.840.113619.2.416.1205366986230223083640668411225109060781.2.840.113619.2.327.3.50990949.260.1540161545.999","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":98.4365482233502,""y"":220.26395939086294,""z"":57,""mind"":6.0761444060913705,""maxd"":7.378175350253839,""direction"":""{\""x\"":11.045685279187865,\""y\"":9.096446700507613,\""z\"":0}""}{""x"":127.35025380710653,""y"":203.04568527918778,""z"":49,""mind"":3.1979695431472077,""maxd"":6.395939086294415,""direction"":""{\""x\"":9.096446700507613,\""y\"":4.5482233502538065,\""z\"":0}""}",""
"1.2.840.113619.2.416.1205366986230223083640668411225109060781.2.840.113619.2.327.3.50990949.260.1540161545.999","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":98.59459459459455,""y"":219.3297297297297,""z"":57,""mind"":6.932435027027033,""maxd"":11.091896043243244,""direction"":""{\""x\"":10.378378378378386,\""y\"":16.605405405405406,\""z\"":0}""}{""x"":126.6162162162162,""y"":202.03243243243242,""z"":50,""mind"":10.702702702702712,""maxd"":10.702702702702712,""direction"":""{\""x\"":15.221621621621637,\""y\"":15.221621621621637,\""z\"":0}""}",""
"1.2.840.113619.2.416.1205366986230223083640668411225109060781.2.840.113619.2.327.3.50990949.260.1540161545.999","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":99.20953118828692,""y"":219.04923968259376,""z"":57,""mind"":3.479686489327538,""maxd"":4.349608111659451,""direction"":""{\""x\"":6.51169157799157,\""y\"":5.209353262393222,\""z\"":0}""}{""x"":128.6497461928934,""y"":202.07106598984768,""z"":50,""mind"":4.56852791878172,""maxd"":4.56852791878174,""direction"":""{\""x\"":6.497461928934001,\""y\"":6.49746192893403,\""z\"":0}""}",""
"1.2.840.113619.2.416.1205366986230223083640668411225109060781.2.840.113619.2.327.3.50990949.252.1557875858.398.4","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":99.08629441624359,""y"":218.96446700507613,""z"":57,""mind"":6.0761444060913705,""maxd"":6.510154720812155,""direction"":""{\""x\"":9.746192893400973,\""y\"":9.096446700507613,\""z\"":0}""}{""x"":417.7868020304568,""y"":216.36548223350252,""z"":33,""mind"":5.050763045685228,""maxd"":7.071068263959391,""direction"":""{\""x\"":6.497461928933944,\""y\"":9.096446700507613,\""z\"":0}""}",""
"1.2.840.113619.2.416.1205366986230223083640668411225109060781.2.840.113619.2.327.3.50990949.252.1557875858.398.4","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":191.4584952098343,""y"":326.05803794758873,""z"":7,""mind"":3.189712615216932,""maxd"":4.059634237548826,""direction"":""{\""x\"":6.077578806125473,\""y\"":4.775240490527153,\""z\"":0}""}{""x"":231.4378378378378,""y"":299.58918918918914,""z"":23,""mind"":7.5297321513513635,""maxd"":9.143246183783779,""direction"":""{\""x\"":11.762162162162156,\""y\"":9.686486486486501,\""z\"":0}""}",""
"1.2.840.113619.2.416.1205366986230223083640668411225109060781.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":191.35025380710658,""y"":325.52284263959393,""z"":7,""mind"":3.906092832487331,""maxd"":4.340103147208116,""direction"":""{\""x\"":5.847715736040641,\""y\"":6.497461928934001,\""z\"":0}""}{""maxd"":3.42,""mind"":1.66,""x"":386.01,""y"":266.55,""z"":140}",""
"1.2.840.113619.2.327.3.50990949.252.1557875858.398.41.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":84.79187817258881,""y"":328.4467005076142,""z"":44,""mind"":7.576144568527886,""maxd"":10.606602395939085,""direction"":""{\""x\"":9.746192893400973,\""y\"":13.64467005076142,\""z\"":0}""}{""maxd"":2.3,""mind"":1.12,""x"":390.1,""y"":271.96,""z"":140}",""
"1.2.840.113619.2.327.3.50990949.252.1557875858.398.41.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":84.14213197969536,""y"":329.0964467005076,""z"":44,""mind"":5.555839350253813,""maxd"":6.56599195939085,""direction"":""{\""x\"":8.446700507614196,\""y\"":7.147208121827418,\""z\"":0}""}{""maxd"":2.33,""mind"":0.87,""x"":227.69,""y"":183.16,""z"":224}",""
"1.2.840.113619.2.327.3.50990949.252.1557875858.398.41.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":83.37297297297295,""y"":330.7243243243243,""z"":44,""mind"":14.521626291891877,""maxd"":15.059464302702727,""direction"":""{\""x\"":18.68108108108106,\""y\"":19.372972972973002,\""z\"":0}""}{""maxd"":2.93,""mind"":1.1,""x"":148.34,""y"":184.06,""z"":236}",""
"1.2.840.113619.2.327.3.50990949.252.1557875858.398.41.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":416.48730964467,""y"":280.3654822335025,""z"":50,""mind"":8.586297177665012,""maxd"":9.091373482233465,""direction"":""{\""x\"":11.695431472081168,\""y\"":11.045685279187865,\""z\"":0}""}{""maxd"":3.31,""mind"":2.11,""x"":110.24,""y"":205.9,""z"":257}",""
"1.2.840.113619.2.327.3.50990949.252.1557875858.398.41.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":416.48730964467006,""y"":280.3654822335025,""z"":50,""mind"":6.060915654822353,""maxd"":6.56599195939085,""direction"":""{\""x\"":7.7969543147208356,\""y\"":8.446700507614196,\""z\"":0}""}{""maxd"":2.33,""mind"":1.14,""x"":98.73,""y"":206.01,""z"":260}",""
"1.2.840.113619.2.327.3.50990949.252.1557875858.398.41.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":415.481081081081,""y"":280.56216216216217,""z"":50,""mind"":11.294598227026956,""maxd"":14.521626291891922,""direction"":""{\""x\"":14.529729729729638,\""y\"":18.681081081081118,\""z\"":0}""}{""maxd"":2.42,""mind"":0.91,""x"":125.31,""y"":333.83,""z"":291}",""
"1.2.840.113619.2.416.2900603878240449973496810012575913256791.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":101.68527918781723,""y"":266.3959390862944,""z"":32,""mind"":5.4822335025380475,""maxd"":5.9390862944162315,""direction"":""{\""x\"":8.446700507614196,\""y\"":7.796954314720779,\""z\"":0}""}{""maxd"":6.35,""mind"":3.09,""x"":204.62,""y"":357.88,""z"":321}",""
"1.2.840.113619.2.416.2900603878240449973496810012575913256791.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":102.01015228426391,""y"":266.0710659898477,""z"":32,""mind"":3.1979695431472077,""maxd"":3.6548223350254316,""direction"":""{\""x\"":5.1979695431472805,\""y\"":4.5482233502538065,\""z\"":0}""}{""maxd"":3.3,""mind"":1.61,""x"":123.17,""y"":195.18,""z"":324}",""
"1.2.840.113619.2.416.2900603878240449973496810012575913256791.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":101.01621621621618,""y"":266.7243243243243,""z"":32,""mind"":4.864864864864855,""maxd"":9.243243243243269,""direction"":""{\""x\"":6.918918918918905,\""y\"":13.145945945945982,\""z\"":0}""}{""maxd"":3.25,""mind"":1.59,""x"":136.94,""y"":161.21,""z"":350}",""
"1.2.840.113619.2.416.210489108878432605711379486071807875581.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":99.08629441624362,""y"":219.93908629441623,""z"":8,""mind"":7.378175350253801,""maxd"":8.24619597969541,""direction"":""{\""x\"":12.345177664974585,\""y\"":11.045685279187808,\""z\"":0}""}{""maxd"":4.92,""mind"":2.62,""x"":412.47,""y"":200.89,""z"":363}",""
"1.2.840.113619.2.416.210489108878432605711379486071807875581.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":98.24864864864861,""y"":220.0216216216216,""z"":8,""mind"":8.318922032432424,""maxd"":15.713519394594586,""direction"":""{\""x\"":12.45405405405404,\""y\"":23.52432432432431,\""z\"":0}""}{""x"":203.72874740635154,""y"":358.63292378307426,""z"":322,""mind"":6.180949537175266,""maxd"":6.1809495371752865,""direction"":""{\""x\"":8.790683786204823,\""y\"":8.790683786204852,\""z\"":0}""}",""
"1.2.840.113619.2.55.3.386549861.406.1557790432.2801.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":154.63959390862942,""y"":233.25888324873097,""z"":17,""mind"":6.426397888324869,""maxd"":7.497464203045685,""direction"":""{\""x\"":9.096446700507613,\""y\"":7.796954314720807,\""z\"":0}""}{""x"":122.12988104254002,""y"":193.83649419811326,""z"":324,""mind"":2.7450187720353036,""maxd"":4.66653191246003,""direction"":""{\""x\"":3.904026698005765,\""y\"":6.636845386609821,\""z\"":0}""}",""
"1.2.840.113619.2.55.3.386549861.406.1557790432.2801.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":154.6395939086294,""y"":232.93401015228426,""z"":17,""mind"":5.355331573604054,""maxd"":5.8908647309644495,""direction"":""{\""x\"":6.497461928934001,\""y\"":7.14720812182739,\""z\"":0}""}{""x"":410.4422526902665,""y"":200.0829369149225,""z"":363,""mind"":4.1175281580529655,""maxd"":4.66653191246003,""direction"":""{\""x\"":6.636845386609821,\""y\"":5.856040047008662,\""z\"":0}""}",""
"1.2.840.113619.2.55.3.386549861.406.1557790432.2801.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":155.33061313913072,""y"":232.86414424140912,""z"":17,""mind"":5.088403962171514,""maxd"":6.106084754605812,""direction"":""{\""x\"":6.173606726090412,\""y\"":7.408328071308489,\""z\"":0}""}{""x"":236.9082659639098,""y"":275.430652186434,""z"":414,""mind"":2.4705168948317713,""maxd"":3.843026280849433,""direction"":""{\""x\"":5.465637377208083,\""y\"":3.513624028205186,\""z\"":0}""}",""
"1.2.840.113619.2.55.3.386549861.406.1557790432.2801.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":155.3297297297297,""y"":234.20540540540537,""z"":17,""mind"":11.975679308108127,""maxd"":18.818924627027023,""direction"":""{\""x\"":14.529729729729752,\""y\"":22.832432432432427,\""z\"":0}""}{""x"":203.13843502615987,""y"":358.7816221888572,""z"":324,""mind"":3.5685244036459007,""maxd"":3.843026280849413,""direction"":""{\""x\"":5.075234707407503,\""y\"":5.465637377208054,\""z\"":0}""}",""
"1.3.12.2.1107.5.1.4.73436.300000190515000625732000134681.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":424.2842639593908,""y"":166.01015228426394,""z"":56,""mind"":10.972081218274123,""maxd"":17.455583756345174,""direction"":""{\""x\"":14.294416243654837,\""y\"":22.741116751269033,\""z\"":0}""}{""x"":203.84460209495336,""y"":357.6300341587888,""z"":321,""mind"":4.916456546962287,""maxd"":5.692739159640534,""direction"":""{\""x\"":6.992293755679697,\""y\"":8.096340138155426,\""z\"":0}""}",""
"1.3.12.2.1107.5.1.4.73436.300000190515000625732000134681.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":424.28426395939084,""y"":166.65989847715736,""z"":56,""mind"":9.974619289340001,""maxd"":13.465736040609102,""direction"":""{\""x\"":12.994923857867889,\""y\"":17.54314720812178,\""z\"":0}""}{""x"":388.9206115119056,""y"":271.31470385504,""z"":140,""mind"":3.24151191938741,""maxd"":3.3824472202303024,""direction"":""{\""x\"":4.810591602105319,\""y\"":4.610150285350983,\""z\"":0}""}",""
"1.3.12.2.1107.5.1.4.73436.300000190515000625732000134681.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":425.1675675675675,""y"":167.78378378378375,""z"":56,""mind"":18.587837837837778,""maxd"":23.898648648648646,""direction"":""{\""x\"":24.21621621621614,\""y\"":31.13513513513513,\""z\"":0}""}{""x"":385.01200583519505,""y"":265.0008023772768,""z"":140,""mind"":2.818706016858572,""maxd"":2.9596413177015446,""direction"":""{\""x\"":4.209267651842197,\""y\"":4.008826335087747,\""z\"":0}""}",""
"1.3.12.2.1107.5.1.4.73436.300000190515000625732000136221.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":423.3096446700507,""y"":166.98477157360406,""z"":56,""mind"":15.460659898477193,""maxd"":16.95685279187818,""direction"":""{\""x\"":20.142131979695478,\""y\"":22.091370558375644,\""z\"":0}""}{""x"":312.06092554332434,""y"":358.25342158734344,""z"":156,""mind"":4.946814660417633,""maxd"":5.688836859480286,""direction"":""{\""x\"":7.035469739260634,\""y\"":8.09079020014974,\""z\"":0}""}",""
"1.3.12.2.1107.5.1.4.73436.300000190515000625732000136221.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":424.2842639593908,""y"":166.65989847715736,""z"":56,""mind"":10.972081218274123,""maxd"":12.468274111675132,""direction"":""{\""x\"":14.294416243654837,\""y\"":16.24365482233503,\""z\"":0}""}{""x"":109.48223350253798,""y"":204.994923857868,""z"":257,""mind"":4.111675126903536,""maxd"":7.766497461928948,""direction"":""{\""x\"":5.847715736040584,\""y\"":11.045685279187836,\""z\"":0}""}",""
"1.3.12.2.1107.5.1.4.73436.300000190515000625732000136221.2.840.113619.2.416.185672529007973468239270490648099079346","ANNO3ANNO3","ELLIPSEELLIPSE","{""x"":425.1675675675675,""y"":164.67027027027024,""z"":56,""mind"":18.587837837837778,""maxd"":22.305405405405416,""direction"":""{\""x\"":24.21621621621614,\""y\"":29.059459459459475,\""z\"":0}""}{""x"":98.11167512690355,""y"":204.67005076142132,""z"":259,""mind"":0.9137055837563679,""maxd"":1.8274111675127358,""direction"":""{\""x\"":2.5989847715736687,\""y\"":1.2994923857868343,\""z\"":0}""}",""
